日期,时间,温度(℃),湿度(%),光照(lux),株高(cm)
第1天,00:00,16.5,78.6,0,5.3
第1天,06:00,18.0,76.7,0,5.6
第1天,12:00,26.5,59.5,26360,5.9
第1天,18:00,16.8,77.3,0,6.1
第2天,00:00,17.3,75.7,0,6.4
第2天,06:00,17.9,78.0,0,6.7
第2天,12:00,25.6,58.6,26314,7.0
第2天,18:00,17.3,77.4,146,7.3
第3天,00:00,17.2,78.5,0,7.6
第3天,06:00,17.5,76.0,0,7.9
第3天,12:00,88,60.0,25775,8.2
第3天,18:00,17.9,78.1,228,8.4
第4天,00:00,18.7,78.5,0,8.8
第4天,06:00,16.9,82.6,0,9.1
第4天,12:00,26.2,58.5,26650,9.3
第4天,18:00,16.8,79.9,0,9.6
第5天,00:00,16.4,78.2,0,9.9
第5天,06:00,17.1,,0,10.2
第5天,12:00,27.2,58.0,26596,10.5
第5天,18:00,18.3,77.3,474,10.8
第6天,00:00,18.4,80.2,0,11.0
第6天,06:00,18.0,80.5,0,11.3
第6天,12:00,27.4,59.8,26060,11.6
第6天,18:00,18.2,75.9,0,11.9
第7天,00:00,17.6,78.7,0,12.2
第7天,06:00,18.1,80.2,0,12.5
第7天,12:00,26.8,58.8,26267,12.8
第7天,18:00,18.1,78.3,-50,13.1
第8天,00:00,17.7,75.5,0,13.4
第8天,06:00,16.1,76.7,0,13.7
第8天,12:00,26.3,57.3,26389,14.0
第8天,18:00,17.6,80.3,0,14.2
第9天,00:00,17.1,78.0,0,14.5
第9天,06:00,17.5,76.8,0,14.8
第9天,12:00,27.6,60.9,23605,
第9天,18:00,16.8,75.9,0,15.4
第10天,00:00,17.4,78.9,0,15.6
第10天,06:00,18.3,79.1,0,15.9
第10天,12:00,26.2,57.1,26136,16.2
第10天,18:00,17.9,76.7,1197,16.5
第11天,00:00,18.1,74.9,0,2.5
第11天,06:00,16.9,76.9,0,17.1
第11天,12:00,26.1,54.0,26430,17.4
第11天,18:00,18.0,76.1,955,17.6
第12天,00:00,17.0,74.9,0,17.9
第12天,06:00,16.1,80.7,0,18.2
第12天,12:00,25.8,58.5,26292,18.5
第12天,18:00,16.9,75.1,1817,18.8
第13天,00:00,17.5,81.2,0,19.0
第13天,06:00,18.6,77.3,0,19.3
第13天,12:00,27.6,59.7,26722,19.6
第13天,18:00,18.6,80.0,0,19.9
第14天,00:00,16.9,78.4,0,20.2
第14天,06:00,17.4,78.5,0,20.5
第14天,12:00,25.9,60.2,26528,20.7
第14天,18:00,18.4,77.6,73,21.0
